ags,strasse,ort,hnr,wahlbezirk_nr,wahlbezirk_name,wahlraum_name,wahlraum_addresse,wahlraum_addresse2,wahlbehoerde,hausnummer_start,hausnummer_ende,note
3358024,Am Bahnhof,Walsrode,[1 - 133],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,133,
3358024,Am Bayersfeld,Walsrode OT Benefeld,[1 - 3],133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,1,3,
3358024,Am Bayershof,Walsrode OT Benefeld,[1 - 12],133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,1,12,
3358024,Am Beetenbusch,Walsrode OT Düshorn,[1 - 10],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,10,
3358024,Am Berge,Walsrode OT Bomlitz,[2 - 20] gerade,131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,2,20,gerade
3358024,Am Berge,Walsrode OT Düshorn,[2 - 10],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,2,10,
3358024,Am Bienenzaun,Walsrode OT Ahrsen,[1 - 4],137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,1,4,
3358024,Am Bienenzaun,Walsrode OT Jarlingen,[3 - 12],137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,3,12,
3358024,Am Böhmeufer,Walsrode OT Borg,[50 - 62 A],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,50,62,
3358024,Am Böhmeufer,Walsrode OT Borg,,136,0136 Uetzingen,136 - Uetzingen,Walsroder Straße 110,29699 Walsrode,Stadt Walsrode,0,0,
3358024,Am Böhmeufer,Walsrode OT Uetzingen,[1 - 8],136,0136 Uetzingen,136 - Uetzingen,Walsroder Straße 110,29699 Walsrode,Stadt Walsrode,1,8,
3358024,Am Breekamp,Walsrode OT Borg,[1 - 15],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,1,15,
3358024,Am Bullerberg,Walsrode,[1 - 38],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,38,
3358024,Am Diekkamp,Walsrode OT Benefeld,[1 - 18],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,18,
3358024,Am Dornbusch,Walsrode,[1 - 25],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,25,
3358024,Am Eichenkamp,Walsrode OT Bomlitz,[1 - 41],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,41,
3358024,Am Engelbach,Walsrode OT Uetzingen,[2 - 22],136,0136 Uetzingen,136 - Uetzingen,Walsroder Straße 110,29699 Walsrode,Stadt Walsrode,2,22,
3358024,Am Fischteich,Walsrode OT Jarlingen,[1 - 4],137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,1,4,
3358024,Am Friedhof,Walsrode OT Honerdingen,[1 - 3] ungerade,125,0125 Honerdingen,125 - Honerdingen,Dorfallee 55,29664 Walsrode,Stadt Walsrode,1,3,ungerade
3358024,Am Glockenberg,Walsrode OT Düshorn,[1 - 15],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,15,
3358024,Am Großen Busch,Walsrode OT Benefeld,[1 - 4],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,4,
3358024,Am Gutshof,Walsrode OT Bomlitz,[1 - 23 B],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,23,
3358024,Am Habichtskamp,Walsrode OT Bomlitz,[1 - 101],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,101,
3358024,Am Hang,Walsrode OT Düshorn,[1 - 9],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,9,
3358024,Am Haselbusch,Walsrode OT Bomlitz,[1 - 7],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,7,
3358024,Am Hellteich,Walsrode,[1 - 35],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,35,
3358024,Am Hofe,Walsrode OT Uetzingen,[1 - 4],136,0136 Uetzingen,136 - Uetzingen,Walsroder Straße 110,29699 Walsrode,Stadt Walsrode,1,4,
3358024,Am hohen Felde,Walsrode,[1 - 7],103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,1,7,
3358024,Am Hoop,Walsrode OT Bomlitz,[1 - 13],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,13,
3358024,Am Hopfenhof,Walsrode,[1 - 32 A],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,32,
3358024,Am Imbesbach,Walsrode,,127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,0,0,
3358024,Am Imbesbach,Walsrode OT Düshorn,[1 - 19 A],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,19,
3358024,Am Karbödel,Walsrode OT Borg,[1 - 17],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,1,17,
3358024,Am Katzengrund,Walsrode OT Uetzingen,[1 - 27],136,0136 Uetzingen,136 - Uetzingen,Walsroder Straße 110,29699 Walsrode,Stadt Walsrode,1,27,
3358024,Am Kloster,Walsrode,[0 - 5],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,0,5,
3358024,Am Mühlenhof,Walsrode OT Benefeld,[1 - 2305],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,2305,
3358024,Am Mühlenteich,Walsrode OT Düshorn,1,127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,1,
3358024,Am Nordsunder,Walsrode,[1 - 25],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,1,25,
3358024,Am Osterbruch,Walsrode OT Düshorn,[2 - 28],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,2,28,
3358024,Am Pascheberg,Walsrode OT Düshorn,[1 - 45],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,45,
3358024,Am Riesbach,Walsrode OT Kroge,[1 - 12],138,0138 Bommelsen-Kroge,138 - Bommelsen-Kroge,Bosselsmoor 10,29699 Walsrode,Stadt Walsrode,1,12,
3358024,Am Rosengarten,Walsrode,[1 - 23],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,23,
3358024,Am Sandstich,Walsrode OT Bomlitz,[1 - 7] ungerade,133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,1,7,ungerade
3358024,Am Scharfen Berge,Walsrode OT Düshorn,[1 - 17],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,17,
3358024,Am Tierhof,Walsrode,[3 - 32],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,3,32,
3358024,Am Vogelpark,Walsrode OT Borg,[1 - 9],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,1,9,
3358024,Am Waldbad,Walsrode,[1 - 11],103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,1,11,
3358024,Am Walde,Walsrode OT Benefeld,[1 - 11 A],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,11,
3358024,Am Wiechmannshof,Walsrode OT Ahrsen,[1 - 5] ungerade,137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,1,5,ungerade
3358024,Amselsteig,Walsrode OT Bomlitz,[1 - 45],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,45,
3358024,Amselweg,Walsrode OT Düshorn,[1 - 8],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,8,
3358024,An den Buchen,Walsrode OT Bomlitz,[1 - 35],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,35,
3358024,An der Frauenwiese,Walsrode,[1 - 15],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,15,
3358024,An der Gänseweide,Walsrode,[1 - 14],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,14,
3358024,An der Lehmkuhle,Walsrode,[1 - 10],114,0114 Grundschule am Markt,114 - Grundschule am Markt,Marktstraße 11,29664 Walsrode,Stadt Walsrode,1,10,
3358024,An der Obstbaumwiese,Walsrode OT Düshorn,[2 - 28],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,2,28,
3358024,An der Pauluskirche,Walsrode OT Bomlitz,[1 - 3] ungerade,132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,3,ungerade
3358024,An der Sandkuhle,Walsrode OT Honerdingen,[1 - 12],125,0125 Honerdingen,125 - Honerdingen,Dorfallee 55,29664 Walsrode,Stadt Walsrode,1,12,
3358024,An der Warnau,Walsrode OT Borg,[0 - 82],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,0,82,
3358024,An der Wisselshorst,Walsrode OT Bomlitz,[1 - 26],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,26,
3358024,Anna-von-Behr-Straße,Walsrode,[1 - 11],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,11,
3358024,Anne-Frank-Straße,Walsrode,[1 - 30],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,1,30,
3358024,Apfelallee,Walsrode,[1 - 20],114,0114 Grundschule am Markt,114 - Grundschule am Markt,Marktstraße 11,29664 Walsrode,Stadt Walsrode,1,20,
3358024,Aspeloh,Walsrode OT Bomlitz,[1 - 18],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,18,
3358024,Auf dem Bossel,Walsrode OT Bommelsen,[1 - 28],138,0138 Bommelsen-Kroge,138 - Bommelsen-Kroge,Bosselsmoor 10,29699 Walsrode,Stadt Walsrode,1,28,
3358024,Auf dem Kamp,Walsrode OT Düshorn,[1 - 51],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,51,
3358024,August-Wolff-Straße,Walsrode OT Bomlitz,[1 - 37],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,37,
3358024,Bahnhofstraße,Walsrode OT Bomlitz,[1 - 78],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,78,
3358024,Baitgersweg,Walsrode OT Jarlingen,[2 - 8 F] gerade,137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,2,8,gerade
3358024,Bayershofer Weg,Walsrode OT Benefeld,[2 - 25],133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,2,25,
3358024,Beckersberg,Walsrode,[1 - 25],103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,1,25,
3358024,Beethovenstraße,Walsrode,[1 - 37],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,37,
3358024,Beethovenstraße,Walsrode OT Benefeld,[1 - 47],133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,1,47,
3358024,Beim Ginsterfeld,Walsrode OT Bomlitz,[1 - 17],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,17,
3358024,Beim Vorwerk,Walsrode,[1 - 9],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,9,
3358024,Benefelder Straße,Walsrode OT Borg,[1 - 7],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,1,7,
3358024,Benzen,Walsrode OT Benzen,[1 - 99],126,0126 Benzen,126 - Benzen,Benzen 82,29664 Walsrode,Stadt Walsrode,1,99,
3358024,Benzer Straße,Walsrode,[1 - 99],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,99,
3358024,Benzer Winkel,Walsrode,[1 - 8],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,8,
3358024,Bergstraße,Walsrode,[1 - 97],114,0114 Grundschule am Markt,114 - Grundschule am Markt,Marktstraße 11,29664 Walsrode,Stadt Walsrode,1,97,
3358024,Bergstraße,Walsrode OT Benefeld,[1 - 19],133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,1,19,
3358024,Berthold-Schwarz-Straße,Walsrode OT Bomlitz,[1 - 22],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,22,
3358024,Birkenstraße,Walsrode OT Bomlitz,[1 - 14],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,14,
3358024,Birkenweg,Walsrode,[2 - 19],102,"0102 Hans-Brüggemann-Schule, Wahlraum 2","102 - Hans-Brüggemann-Schule, Wahlraum 2",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,2,19,
3358024,Bismarckring,Walsrode,[2 - 106] gerade,103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,2,106,gerade
3358024,Blainville-Ring,Walsrode OT Bomlitz,[1 - 37],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,1,37,
3358024,Blankemühlen,Walsrode OT Vethem,[1 - 7],105,0105 Vethem,105 - Vethem,Vethem 57,29664 Walsrode,Stadt Walsrode,1,7,
3358024,Bockhorn,Walsrode OT Bockhorn,[1 - 93],128,0128 Bockhorn,128 - Bockhorn,Bockhorn 9,29664 Walsrode,Stadt Walsrode,1,93,
3358024,Bomlitzer Straße,Walsrode OT Honerdingen,[8 I - 120],125,0125 Honerdingen,125 - Honerdingen,Dorfallee 55,29664 Walsrode,Stadt Walsrode,8,120,
3358024,Bommelser Straße,Walsrode OT Bommelsen,[1 - 13],138,0138 Bommelsen-Kroge,138 - Bommelsen-Kroge,Bosselsmoor 10,29699 Walsrode,Stadt Walsrode,1,13,
3358024,Borger Straße,Walsrode OT Borg,[1 - 102],135,0135 Borg-Cordingen,135 - Borg-Cordingen,Borger Straße 30,29699 Walsrode,Stadt Walsrode,1,102,
3358024,Bosselsmoor,Walsrode OT Bommelsen,[1 - 28],138,0138 Bommelsen-Kroge,138 - Bommelsen-Kroge,Bosselsmoor 10,29699 Walsrode,Stadt Walsrode,1,28,
3358024,Bosselsmoor,Walsrode OT Kroge,,138,0138 Bommelsen-Kroge,138 - Bommelsen-Kroge,Bosselsmoor 10,29699 Walsrode,Stadt Walsrode,0,0,
3358024,Brammerweg,Walsrode,[1 - 10],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,1,10,
3358024,Brandsheide,Walsrode OT Benefeld,[1 - 34],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,34,
3358024,Breslauer Straße,Walsrode OT Bomlitz,[3 - 23],131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,3,23,
3358024,Breslauer Weg,Walsrode OT Düshorn,[1 - 22],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,22,
3358024,Bromberger Straße,Walsrode,[1 - 17],103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,1,17,
3358024,Bronzeweg,Walsrode OT Honerdingen,[1 - 18],125,0125 Honerdingen,125 - Honerdingen,Dorfallee 55,29664 Walsrode,Stadt Walsrode,1,18,
3358024,Bruchweg,Walsrode OT Düshorn,[1 - 7] ungerade,127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,7,ungerade
3358024,Brucknerweg,Walsrode,[1 - 2 A],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,2,
3358024,Brückstraße,Walsrode,[1 - 9],116,"0116 Alte Schule Vorbrück, Wahlraum 1","116 - Alte Schule Vorbrück, Wahlraum 1",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,9,
3358024,Brüggemannstraße,Walsrode,[1 - 53],101,"0101 Hans-Brüggemann-Schule, Wahlraum 1","101 - Hans-Brüggemann-Schule, Wahlraum 1",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,53,
3358024,Brunkenwinkel,Walsrode,[1 - 33],115,"0115 Kulturzentrum ""mittendrin""","115 - Kulturzentrum ""mittendrin""",Moorstraße 89,29664 Walsrode,Stadt Walsrode,1,33,
3358024,Brüsehof,Walsrode OT Ahrsen,[1 - 11],137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,1,11,
3358024,Buchenweg,Walsrode,[1 - 10],102,"0102 Hans-Brüggemann-Schule, Wahlraum 2","102 - Hans-Brüggemann-Schule, Wahlraum 2",Brüggemannstraße 8,29664 Walsrode,Stadt Walsrode,1,10,
3358024,Bussen Barg,Walsrode OT Düshorn,[1 - 26],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,26,
3358024,Caroline-Herschel-Straße,Walsrode,[1 - 27],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,1,27,
3358024,Caroline-von-Marschalck-Straße,Walsrode,[2 - 14],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,2,14,
3358024,Celler Straße,Walsrode OT Düshorn,[1 - 47],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,47,
3358024,Claudiusstraße,Walsrode,[1 - 25],115,"0115 Kulturzentrum ""mittendrin""","115 - Kulturzentrum ""mittendrin""",Moorstraße 89,29664 Walsrode,Stadt Walsrode,1,25,
3358024,Cordinger Straße,Walsrode,[1 - 38],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,1,38,
3358024,Cordinger Straße,Walsrode OT Benefeld,[20 - 102],133,0133 Benefeld Ost,133 - Benefeld Ost,Cordinger Straße 39,29699 Walsrode,Stadt Walsrode,20,102,
3358024,Cordinger Straße,Walsrode OT Benefeld,[1 - 19],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,19,
3358024,Dammstraße,Walsrode,[1 - 20],114,0114 Grundschule am Markt,114 - Grundschule am Markt,Marktstraße 11,29664 Walsrode,Stadt Walsrode,1,20,
3358024,Danziger Straße,Walsrode,[1 - 43],103,0103 Grundschule Süd,103 - Grundschule Süd,Prager Straße 2,29664 Walsrode,Stadt Walsrode,1,43,
3358024,Danziger Weg,Walsrode OT Benefeld,[1 - 59],134,0134 Benefeld West,134 - Benefeld West,Niedersachsenplatz 1,29699 Walsrode,Stadt Walsrode,1,59,
3358024,Dehnbosteler Weg,Walsrode OT Bommelsen,[1 - 4 A],138,0138 Bommelsen-Kroge,138 - Bommelsen-Kroge,Bosselsmoor 10,29699 Walsrode,Stadt Walsrode,1,4,
3358024,Deiler Weg,Walsrode OT Düshorn,[1 - 7],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,7,
3358024,Dierkingstraße,Walsrode,[6 - 28],117,"0117 Alte Schule Vorbrück, Wahlraum 2","117 - Alte Schule Vorbrück, Wahlraum 2",Quintusstraße 35,29664 Walsrode,Stadt Walsrode,6,28,
3358024,Dorfallee,Walsrode OT Honerdingen,[1 F - 124],125,0125 Honerdingen,125 - Honerdingen,Dorfallee 55,29664 Walsrode,Stadt Walsrode,1,124,
3358024,Dorfmarker Weg,Walsrode OT Bomlitz,2,131,0131 Bomlitz Ost,131 - Bomlitz Ost,August-Wolff-Straße 3,29699 Walsrode,Stadt Walsrode,2,2,
3358024,Dorfstraße,Walsrode OT Ahrsen,[15 - 36],137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,15,36,
3358024,Dorfstraße,Walsrode OT Jarlingen,[0 - 32],137,0137 Ahrsen-Jarlingen,137 - Ahrsen-Jarlingen,Kettenburger Weg 2 A,29699 Walsrode,Stadt Walsrode,0,32,
3358024,Dr.-Schomerus-Straße,Walsrode,[1 - 30],118,0118 Gymnasium,118 - Gymnasium,Sunderstr. 19,29664 Walsrode,Stadt Walsrode,1,30,
3358024,Drosselkamp,Walsrode OT Bomlitz,[1 - 32],132,0132 Bomlitz West,132 - Bomlitz West,Papiermacherkamp 27,29699 Walsrode,Stadt Walsrode,1,32,
3358024,Drosselweg,Walsrode OT Düshorn,[1 - 4],127,0127 Düshorn,127 - Düshorn,Auf dem Kamp 8,29664 Walsrode,Stadt Walsrode,1,4,
